,precision,recall,f1-score,support
Benign,0.9724434199497066,0.9667708333333334,0.9695988299206018,9600.0
Classic_CRT,0.17333333333333334,0.17105263157894737,0.17218543046357615,152.0
Classic_Hook,0.2288135593220339,0.1875,0.20610687022900764,144.0
Mixed,0.6785714285714286,0.6551724137931034,0.6666666666666666,29.0
Reflective,0.2682926829268293,0.2558139534883721,0.2619047619047619,172.0
Sideloading,0.08670520231213873,0.1875,0.11857707509881422,80.0
accuracy,0.9248305001473912,0.9248305001473912,0.9248305001473912,0.9248305001473912
macro avg,0.40135993773591183,0.403968305365626,0.39917327238057143,10177.0
weighted avg,0.9302853473325321,0.9248305001473912,0.9273722570865752,10177.0
