,precision,recall,f1-score,support
Benign,0.975,0.9982594450701341,0.9864926392472302,9767.0
Classic_CRT,0.3561643835616438,0.17105263157894737,0.2311111111111111,152.0
Classic_Hook,0.4727272727272727,0.18181818181818182,0.26262626262626265,143.0
Mixed,0.7272727272727273,0.7741935483870968,0.75,31.0
Reflective,0.3611111111111111,0.22674418604651161,0.2785714285714286,172.0
Sideloading,0.9367088607594937,0.891566265060241,0.9135802469135802,83.0
accuracy,0.9604754541940471,0.9604754541940471,0.9604754541940471,0.9604754541940471
macro avg,0.6381640592387081,0.5406057096601854,0.5703969480782688,10348.0
weighted avg,0.9477160212022587,0.9604754541940471,0.9523337358117754,10348.0
